App ID,Name,Image URL,Minutes of Playtime,Main,Main + Extra,Completionist,Achievements completed, Achievements total, Percentage
10,Counter-Strike,http://media.steampowered.com/steamcommunity/public/images/apps/10/6b0312cda02f5f777efa2f3318c307ff9acafbb5.jpg,1,26.44,106.19,508.11,NA,NA,NA
80,Counter-Strike: Condition Zero,http://media.steampowered.com/steamcommunity/public/images/apps/80/077b050ef3e89cd84e2c5a575d78d53b54058236.jpg,0,3.69,12.69,136.08,NA,NA,NA
100,Counter-Strike: Condition Zero Deleted Scenes,http://media.steampowered.com/steamcommunity/public/images/apps/100/077b050ef3e89cd84e2c5a575d78d53b54058236.jpg,0,6.14,7.22,8.33,NA,NA,NA
300,Day of Defeat: Source,http://media.steampowered.com/steamcommunity/public/images/apps/300/062754bb5853b0534283ae27dc5d58200692b22d.jpg,5,2.48,9.82,10.0,0,54,0.0
20,Team Fortress Classic,http://media.steampowered.com/steamcommunity/public/images/apps/20/38ea7ebe3c1abbbbf4eabdbef174c41a972102b9.jpg,0,20.5,21.64,0.0,NA,NA,NA
30,Day of Defeat,http://media.steampowered.com/steamcommunity/public/images/apps/30/aadc0ce51ff6ba2042d633f8ec033b0de62091d0.jpg,0,5.59,24.66,84.82,NA,NA,NA
40,Deathmatch Classic,http://media.steampowered.com/steamcommunity/public/images/apps/40/c525f76c8bc7353db4fd74b128c4ae2028426c2a.jpg,0,1.24,8.0,12.0,NA,NA,NA
50,Half-Life: Opposing Force,http://media.steampowered.com/steamcommunity/public/images/apps/50/04e81206c10e12416908c72c5f22aad411b3aeef.jpg,0,5.24,6.26,7.16,NA,NA,NA
60,Ricochet,http://media.steampowered.com/steamcommunity/public/images/apps/60/98c69e04cd59b838e05cb6980c12c05874c6419e.jpg,0,44.0,47.21,177.96,NA,NA,NA
70,Half-Life,http://media.steampowered.com/steamcommunity/public/images/apps/70/95be6d131fc61f145797317ca437c9765f24b41c.jpg,719,12.04,14.06,15.35,NA,NA,NA
130,Half-Life: Blue Shift,http://media.steampowered.com/steamcommunity/public/images/apps/130/b06fdee488b3220362c11704be4edad82abeed08.jpg,0,3.05,3.37,3.67,NA,NA,NA
220,Half-Life 2,http://media.steampowered.com/steamcommunity/public/images/apps/220/fcfb366051782b8ebf2aa297f3b746395858cb62.jpg,1012,12.85,15.52,19.7,20,69,28.99
320,Half-Life 2: Deathmatch,http://media.steampowered.com/steamcommunity/public/images/apps/320/795e85364189511f4990861b578084deef086cb1.jpg,0,3.13,12.34,21.55,NA,NA,NA
360,Half-Life Deathmatch: Source,http://media.steampowered.com/steamcommunity/public/images/apps/360/40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3.jpg,0,3.0,3.4,4.0,NA,NA,NA
240,Counter-Strike: Source,http://media.steampowered.com/steamcommunity/public/images/apps/240/9052fa60c496a1c03383b27687ec50f4bf0f0e10.jpg,0,68.29,91.88,472.7,0,147,0.0
280,Half-Life: Source,http://media.steampowered.com/steamcommunity/public/images/apps/280/b4f572a6cc5a6a84ae84634c31414b9123d2f26b.jpg,0,11.16,13.24,13.97,NA,NA,NA
400,Portal,http://media.steampowered.com/steamcommunity/public/images/apps/400/cfa928ab4119dd137e50d728e8fe703e4e970aff.jpg,292,3.12,5.24,10.22,10,15,66.67
500,Left 4 Dead,http://media.steampowered.com/steamcommunity/public/images/apps/500/428df26bc35b09319e31b1ffb712487b20b3245c.jpg,0,6.97,18.72,58.21,0,73,0.0
550,Left 4 Dead 2,http://media.steampowered.com/steamcommunity/public/images/apps/550/7d5a243f9500d2f8467312822f8af2a2928777ed.jpg,0,10.19,26.42,59.17,0,101,0.0
620,Portal 2,http://media.steampowered.com/steamcommunity/public/images/apps/620/2e478fc6874d06ae5baf0d147f6f21203291aa02.jpg,321,8.61,13.74,22.32,18,51,35.29
11020,TrackMania Nations Forever,http://media.steampowered.com/steamcommunity/public/images/apps/11020/a422db7cb704324da48741b9e0a0cc193b566eb0.jpg,1197,13.83,46.4,57.22,NA,NA,NA
